i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1,lid_10,rc_10,exp_20|10
867,,,,0.0073968,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,1.86e-05,0.0466114,0.9740666,42.556713,1.6393241,1.011119
868,,,,0.002424,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3e-06,3.48e-05,0.077079,0.9301992,99.90422,1.7096846,1.0127844
869,,,,0.0071492,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.8e-06,6e-06,0.0003254,0.0468888,57.82942,2.2457213,1.0264045
870,,,,0.0013772,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2.8e-06,1.14e-05,0.0058684,0.2482072,123.08049,2.0323222,1.0239949
871,,,,0.002165,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,4e-06,0.0006672,0.073776,50.548405,2.094362,1.0274863
872,,,,0.0641236,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1e-06,9.8e-06,0.2344548,0.9989218,50.46675,1.4988422,1.0163405
873,,,,0.0046172,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.6e-06,1.12e-05,0.025163,0.8902954,35.138546,1.7113967,1.0117812
874,,,,0.002651,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),2e-07,4e-07,0.0001122,0.0691896,16.56185,1.842557,1.018969
875,,,,0.0266188,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,1.98e-05,0.040143,0.9369178,77.12995,1.67743,1.0121086
876,,,,0.0139692,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.2e-06,2.2e-06,0.0009402,0.2696212,26.998062,1.9134862,1.0344787
877,,,,0.1711218,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),8e-07,2.2e-06,0.0044586,0.3825586,22.548763,1.8614074,1.0178531
878,,,,0.1064032,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),6e-07,2.8e-06,0.0416884,0.8277166,32.646954,1.6727053,1.017731
879,,,,0.0050498,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),5e-06,2e-05,0.0138308,0.713068,63.578613,1.8455951,1.0110754
880,,,,0.010716,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),1.68e-05,0.0002716,0.1147414,0.9595466,113.14506,1.6818756,1.0060786
881,,,,0.0022198,text2image-angular-200-10M,File(queries_text2image-angular-200-1K),3.2e-06,1.88e-05,0.0062406,0.7216592,60.799427,1.8322179,1.0158876
