i,lid_1,rc_1,exp_2|1,distcomp,dataset,workload_description,eps_0.05,eps_0.1,eps_0.5,eps_1
2,67.70728211788352,1.630277,1.0423551,0.0033052,sald-128-100m,"Empirical(messi,0.1,0.2)",4e-07,1.8e-06,0.1793184,0.9607066
3,8.266835447154552,1.59362,1.0460058,0.0093442,sald-128-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,0.002962,0.4521924
4,381.0341065826605,1.3654007,1.0049433,0.0045416,sald-128-100m,"Empirical(messi,0.1,0.2)",8.6e-06,0.0004298,0.9668422,1.0
5,17.611329280944492,1.4803903,1.0016344,0.0014212,sald-128-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,0.104651,0.9961616
6,170.8262395556559,1.3720223,1.0460448,0.0007544,sald-128-100m,"Empirical(messi,0.1,0.2)",4e-07,1e-05,0.9660316,1.0
7,97.94785695298704,1.3445514,1.0158997,0.0029986,sald-128-100m,"Empirical(messi,0.1,0.2)",8e-07,4.98e-05,0.9406402,1.0
8,80.03135121154786,2.1504223,1.4369023,0.0094474,sald-128-100m,"Empirical(messi,0.1,0.2)",4e-07,4e-07,1.4e-06,0.1764572
9,13.54854244711492,1.787764,1.2096901,0.0062752,sald-128-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2.3e-05,0.3835906
0,4819.54426597859,1.0738763,1.0026667,0.1105934,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0836302,0.9099696,1.0,1.0
1,261.2924392647108,1.0251945,1.0000399,0.1006874,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.9963736,1.0,1.0,1.0
2,25293.980528234868,1.2189702,1.0017903,0.1503216,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.000343,0.0229186,1.0,1.0
3,331.5574197364396,1.1184378,1.0033897,0.1192648,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0004416,0.1357752,1.0,1.0
4,836.5847828646654,1.1643779,1.0036576,0.1058374,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",3.52e-05,0.008694,1.0,1.0
5,1068.4464032915862,1.0080351,1.0000011,0.0108358,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",1.0,1.0,1.0,1.0
6,2410.9726733533075,1.1212491,1.0016732,0.1456376,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.0029016,0.213688,1.0,1.0
7,138.74745967457707,1.0223614,1.0000203,0.100941,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.9861748,1.0,1.0,1.0
8,241.5741335634464,1.0763429,1.0002713,0.1020336,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",0.006715,0.8670544,1.0,1.0
9,82.42119774974408,1.1656262,1.005137,0.1384038,sald-128-100m,"Empirical(faiss_ivf,0.1,0.2)",1.02e-05,0.0019354,1.0,1.0
0,15016.70363931666,3.1948032,1.0033928,0.0008408,astro-256-100m,"Empirical(messi,0.1,0.2)",1.2e-06,1.2e-06,1.8e-06,1.8e-06
1,1361.0941492946265,1.7595919,1.0001936,0.0010924,astro-256-100m,"Empirical(messi,0.1,0.2)",1.6e-06,1.8e-06,0.0003526,0.9994652
2,1700.9318448845274,1.7917947,1.0252568,0.0009732,astro-256-100m,"Empirical(messi,0.1,0.2)",8e-07,1.6e-06,0.000161,0.9996458
3,85.14176133894696,4.359593,1.00703,0.0016298,astro-256-100m,"Empirical(messi,0.1,0.2)",1e-06,1.8e-06,1.8e-06,2.2e-06
4,7.845821330870702,1.8299927,1.4301977,0.0013032,astro-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,4e-07,1.26e-05
5,2110.103299923315,2.2745948,1.0481539,0.0013768,astro-256-100m,"Empirical(messi,0.1,0.2)",6e-07,8e-07,1.8e-06,0.0013708
6,3.0044374739161075,1.6113216,1.2565259,0.0362056,astro-256-100m,"Empirical(messi,0.1,0.2)",2e-07,2e-07,2e-07,4e-07
7,81.71599057315633,3.2199008,1.0683881,0.0017642,astro-256-100m,"Empirical(messi,0.1,0.2)",4e-07,8e-07,1.4e-06,1.4e-06
