i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
0,9.13269426526224,2.858192,1.0143994,0.002195,sald-128-100m,"Annealing(rc, hard)",0.0011134,0.072296,0.5885812
1,6.585796029695456,1.3100523,1.0081387,0.0506282,sald-128-100m,"Annealing(rc, hard)",2e-07,4e-07,0.6279198
2,8.235778162060848,2.3203106,1.0050396,0.0066736,sald-128-100m,"Annealing(rc, hard)",8.2e-06,0.017608,0.502875
3,8.986830243924484,2.2151303,1.0101115,0.004954,sald-128-100m,"Annealing(rc, hard)",0.000265,0.1907058,0.9331308
4,5.757299628605344,1.2760059,1.0034426,0.1820734,sald-128-100m,"Annealing(rc, hard)",2e-07,2e-07,0.0009734
5,7.427695775685486,1.731134,1.0110095,0.0073276,sald-128-100m,"Annealing(rc, hard)",2e-07,0.0004788,0.2349236
6,6.960157217490582,1.7366247,1.0078974,0.0299936,sald-128-100m,"Annealing(rc, hard)",2e-07,0.0070708,0.4635478
7,7.08309723569058,1.8328022,1.0086262,0.003758,sald-128-100m,"Annealing(rc, hard)",2e-07,0.0139058,0.4803408
8,6.512824537737878,1.3865733,1.0065526,0.0302062,sald-128-100m,"Annealing(rc, hard)",2e-07,2e-06,0.4833768
9,16.731931787160406,2.888971,1.0091147,0.0039608,sald-128-100m,"Annealing(rc, hard)",0.0246664,0.3404272,0.974676
0,1.6054967802264346,1.4343269,1.0138634,0.0012004,astro-256-100m,"Annealing(rc, easy)",1.4e-06,2e-06,0.1802854
1,0.9546992114649298,1.3383008,1.0355841,0.0116128,astro-256-100m,"Annealing(rc, easy)",1.8e-06,1.8e-06,0.5118888
2,5.673787737579712,1.4173152,1.0056516,0.0021442,astro-256-100m,"Annealing(rc, easy)",2e-07,3.78e-05,0.9643466
3,62.02294527378266,1.193701,1.0064603,0.3897762,astro-256-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
