i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
80,19.932131806756924,2.991916,1.0559419,0.0107,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.08868333333333334,0.4718333333333333,0.818
81,14.415711467954011,2.1346474,1.0596294,0.013033333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.08938333333333333,0.9999666666666667,1.0
82,19.05659430092834,2.1607437,1.0532482,0.0164,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.32705,0.9274666666666667,1.0
83,17.092691138704023,2.7563527,1.0413578,0.014933333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.05765,0.48645,0.9999833333333333
84,39.44383807902409,2.327688,1.0149117,0.0428,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.35763333333333336,0.89235,1.0
85,8.595627435416601,3.6430037,1.0431843,0.01325,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.013016666666666666,0.08883333333333333,0.38863333333333333
86,24.899153500123823,3.3900423,1.0638297,0.0108,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.03133333333333333,0.33135,0.8094
87,24.048621773452094,2.6904507,1.0223294,0.048916666666666664,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.12478333333333333,0.5643833333333333,0.9999666666666667
88,13.871947249891253,4.2000923,1.1427,0.018383333333333335,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.00865,0.061733333333333335,0.26731666666666665
89,16.610728181502992,2.4993746,1.0488627,0.011066666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.07353333333333334,0.6875,1.0
90,9.105156501172795,3.64972,1.0632402,0.017133333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.00925,0.14851666666666666,0.41063333333333335
91,21.35534841331134,2.5782945,1.0372549,0.028033333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.2213,0.7165833333333333,0.9812166666666666
92,7.673157238595375,4.2976136,1.0938687,0.008216666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.003266666666666667,0.0608,0.189
93,19.086796453184444,3.5872788,1.0512475,0.02075,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0218,0.15031666666666665,0.4979166666666667
94,30.472946685290093,3.999047,1.0239487,0.022516666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.04011666666666667,0.14476666666666665,0.38026666666666664
95,56.680593257858256,1.9076489,1.0245367,0.017516666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.7262,1.0,1.0
96,31.171395794119118,2.784076,1.0276054,0.014633333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.17246666666666666,0.6936666666666667,0.9749166666666667
97,15.535729056642593,4.9578466,1.1394966,0.007516666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.005033333333333333,0.07105,0.20838333333333334
98,17.07174551348293,3.0684774,1.06863,0.03138333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0743,0.38253333333333334,0.91295
99,14.904365899664649,3.3269215,1.1133853,0.04225,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.03576666666666667,0.22183333333333333,0.7895166666666666
100,27.3668373460499,2.2529836,1.0325358,0.009316666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.32181666666666664,0.9332833333333334,1.0
101,19.92440640614747,2.5235143,1.0291674,0.015,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.14151666666666668,0.8482,0.9999833333333333
102,25.46196634373343,3.5400279,1.0543617,0.029883333333333335,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.07096666666666666,0.31115,0.6601166666666667
103,26.494439450849022,2.0554328,1.050333,0.0434,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.3475666666666667,0.9986,1.0
104,27.812542677816637,3.5324438,1.0570112,0.0098,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0525,0.26511666666666667,0.7814333333333333
105,15.232697973743049,2.1574638,1.0338002,0.010233333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.11813333333333334,0.8739166666666667,1.0
106,19.851210185711363,3.8152099,1.0690372,0.007016666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.022416666666666668,0.2587333333333333,0.5827333333333333
107,19.408155575375673,2.4491284,1.0436449,0.03451666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.19226666666666667,0.84985,1.0
108,16.84424537753736,2.3947117,1.0371054,0.018716666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.041933333333333336,0.8015,1.0
109,7.073985049328324,3.103376,1.0825325,0.030483333333333335,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0012,0.05215,0.20305
110,14.91835505481736,2.2256067,1.0256209,0.0165,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.15318333333333334,0.9484833333333333,1.0
111,16.313210456860716,2.7724707,1.0648676,0.03436666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0221,0.26866666666666666,0.5814666666666667
112,24.537644137540774,3.7187788,1.0431958,0.02535,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0545,0.25151666666666667,0.6398
113,16.115714276108573,2.5750613,1.0395005,0.011816666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.06506666666666666,0.5733333333333334,0.9992833333333333
114,17.60054887575935,2.6608486,1.0548549,0.017283333333333335,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.13273333333333334,0.6305,0.9756833333333333
115,15.86953623477534,2.699331,1.0834194,0.015033333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.07145,0.6047333333333333,1.0
116,11.105830710220125,2.5196698,1.0685005,0.0152,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.007016666666666667,0.20076666666666668,0.8187
117,21.55658280459858,1.9482607,1.0262773,0.045783333333333336,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.2669666666666667,0.9963833333333333,1.0
118,31.396178754845966,3.2244406,1.0266885,0.03135,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.09001666666666666,0.43243333333333334,0.8537833333333333
119,32.14728400692906,2.323744,1.0436759,0.011516666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.26048333333333334,0.9986833333333334,1.0
120,32.80112144489651,1.9483867,1.063392,0.014483333333333334,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.6155166666666667,0.99995,1.0
