iteration,rc,elapsed_s,query_index,dataset,method,method_params
93,1.081434,22.1790988445282,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
94,1.0802335,22.384750366210938,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
95,1.0792896,22.60150027275085,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
96,1.0783584,22.824418783187863,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
97,1.0773696,23.04905128479004,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
98,1.0762417,23.27075457572937,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
99,1.075362,23.49029517173767,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
100,1.074361,23.712995052337646,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,sgd,"{""learning_rate"": 10, ""max_steps"": 101, ""seed"": 1234}"
0,2.3717496,1.0967254638671877e-05,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
1,2.3503134,0.0271949768066406,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
2,2.3549051,0.0536792278289794,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
3,2.355243,0.0799224376678466,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
4,2.3515007,0.1078376770019531,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
5,2.351942,0.1349568367004394,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
6,2.3478029,0.1619758605957031,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
7,2.3474233,0.1895456314086914,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
8,2.3432992,0.2163865566253662,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
9,2.3087602,0.2437717914581298,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
10,2.2747207,0.2741377353668213,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
11,2.274914,0.3060874938964844,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
12,2.2747571,0.3371961116790771,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
13,2.2747626,0.368582010269165,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
