dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),493,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009156489372253418,0.000697,1.0
sald-128-1m,File(sald-128-1k),494,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.008169603347778321,0.004159,1.0
sald-128-1m,File(sald-128-1k),495,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.02086002826690674,0.033816,1.0
sald-128-1m,File(sald-128-1k),496,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.00787508487701416,0.003151,1.0
sald-128-1m,File(sald-128-1k),497,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.008856058120727539,0.000632,1.0
sald-128-1m,File(sald-128-1k),498,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.009196281433105469,0.000915,1.0
sald-128-1m,File(sald-128-1k),499,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.0011574029922485352,0.003427,1.0
sald-128-1m,File(sald-128-1k),500,faiss_hnsw,0.95,"{""efSearch"": 256, ""index_params"": ""HNSW32""}",0.002114558219909668,0.006823,1.0
sald-128-1m,File(sald-128-1k),501,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0029612064361572267,0.000471,1.0
sald-128-1m,File(sald-128-1k),502,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.0006780385971069336,0.000326,1.0
sald-128-1m,File(sald-128-1k),503,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.0003646373748779297,0.000972,1.0
sald-128-1m,File(sald-128-1k),504,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.0010305166244506836,0.003554,1.0
